Dia/Mês,Data_comemorativa
Janeiro,Janeiro
01/01,Dia da Fraternidade Universal
01/01,Dia do Mercosul
02/01,Dia de São Macário
03/01,Dia do Juiz de Menores
03/01,Día del Fotógrafo Iberoamericano
04/01,Dia Nacional da Abreugrafia
04/01,Dia do Hemofílico
04/01,Dia de Santa Ângela
05/01,Dia de São Nepomuceno Neumann
06/01,Dia da Gratidão
06/01,Dia do Mensageiro
06/01,Dia dos Reis Magos
06/01,Dia dos Astrólogos
07/01,Dia do Leitor
07/01,Dia da Liberdade de Cultos
08/01,Dia Nacional da Fotografia
09/01,Dia do Astronauta
10/01,Dia de São Gonçalo
10/01,Peculiar People Day
11/01,Dia de São Teodósio
11/01,Dia do Controle da Poluição por Agrotóxicos
12/01,Dia de São Fulgêncio
12/01,Aniversário da Cidade de Belém - PA
12/01,Dia Nacional do Empresário Contábil
13/01,Dia de Santo Hilário de Poitiers
14/01,Dia Mundial dos Enfermos
14/01,Dia do Treinador de Futebol
14/01,International Beatles Freak Day
15/01,Dia Mundial do Compositor
16/01,Dia do Cortador de Cana-de-Açúcar
17/01,Dia dos Tribunais de Contas do Brasil
17/01,Dia de Santo Antão Abade
18/01,Dia Internacional do Riso
18/01,Dia Nacional do Krav Maga
19/01,Dia de São Canuto
19/01,Dia Oficial do Cabelereiro (também comemorado em 06/09)
19/01,Dia do Passista
20/01,Dia do Farmacêutico
20/01,Dia de São Sebastião
20/01,Dia Nacional da Parteira Tradicional
20/01,Dia Nacional do Fusca
21/01,Dia Mundial das Religiões
21/01,Dia Nacional de Combate à Intolerância Religiosa
22/01,Dia do Senado
23/01,Dia de Santo Ildefonso
23/01,Dia Mundial de Combate à Hanseníase em 2022
24/01,Dia Nacional do Aposentado
24/01,Dia Nacional da Previdência Social
25/01,Dia do Carteiro
25/01,Dia do Mercador
25/01,Aniversário da Cidade de São Paulo
25/01,Dia Nacional da Bossa Nova
26/01,Dia de São Timóteo
27/01,Dia do Orador
27/01,Dia Internacional em Memória das Vítimas do Holocausto
28/01,Dia do Comércio Exterior
28/01,Dia do Portuário
28/01,Dia de Santo Tomás de Aquino
28/01,Dia Nacional de Combate ao Trabalho Escravo
29/01,Dia da Hospitalidade
29/01,Dia do Jornalista Católico
29/01,Dia Nacional da Visibilidade Trans
